participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,f,2.0071049999678507,standard,2,17,A
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,0.787252800015267,standard,2,18,A
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,0.6405748000252061,standard,2,19,B
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,0.5257090000086464,standard,2,20,A
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,f,0.47043819999089465,standard,2,21,A
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,j,0.5528840000042692,switch,2,22,B
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,f,0.6810322999954224,standard,2,23,A
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,f,0.5473520000232384,standard,2,24,A
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,f,0.6519174000131898,standard,2,25,A
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.5839292000164278,standard,2,26,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,j,0.5255885999649763,switch,2,27,B
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,f,0.5281012000050396,standard,2,28,A
