participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,correct,rt,block_n,trial_n,category_choice
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.5228442999650724,3,58,A
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,0.4431649000034667,3,59,A
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,0.48726989998249337,3,60,B
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1,0.5123799999710172,4,61,B
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,1,0.5448193000047468,4,62,A
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,j,1,0.5045214000274427,4,63,B
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,0.5136008999543265,4,64,A
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.5144391999929212,4,65,B
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,1.0426297999802046,4,66,B
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.43809150002198294,4,67,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.49715390003984794,4,68,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.4275275000254624,4,69,A
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,0.4223296000272967,4,70,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,f,0,0.5000952999689616,4,71,A
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,1,0.4603658999549225,4,72,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,0.439354500034824,4,73,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,1,1.1548618999659084,4,74,A
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,0.4336510999710299,4,75,B
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,0.7339211000362411,4,76,B
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,1.1176674999878742,4,77,A
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.5658216000301763,4,78,B
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,1,0.9804851000080816,4,79,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,j,1,1.434798400034197,4,80,B
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,0.5572814000188373,5,81,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.7319621000206098,5,82,A
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,0.5561537999892607,5,83,A
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1,0.7879076999961399,5,84,B
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,1,0.7775835999636911,5,85,A
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,0.7268748999922536,5,86,B
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,1,0.5582762000267394,5,87,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,j,0,0.6218273999984376,5,88,B
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,j,1,0.5774508999893442,5,89,B
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,1.1029989999951797,5,90,B
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.6073115000035614,5,91,B
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,1.116040199995041,5,92,B
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,1,0.7406138000078499,5,93,A
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,0.7321990999625996,5,94,A
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.4608270000317134,5,95,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,j,1,0.8631939999759197,5,96,B
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,1,0.705115900025703,5,97,A
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.538371599977836,5,98,B
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.618550100014545,5,99,B
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,f,0,0.8546681000152603,5,100,A
12,21,switch/standard,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,7.935169300006237,1,1,B
12,24,switch/standard,f,j,B,40,113,37.71162000489743,24.31290640287821,f,0,1.211507599975448,1,2,A
12,6,switch/standard,f,j,B,17,30,-3.854444584,-37.8392214,f,0,1.3183405000017956,1,3,A
12,23,switch/standard,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,2.020575800037477,1,4,B
12,4,switch/standard,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,1.7359160000341944,1,5,A
12,2,switch/standard,f,j,A,10,57,-24.53495333,-12.0763604,f,1,4.231270699994639,1,6,A
12,12,switch/standard,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.9042352000251412,1,7,B
12,3,switch/standard,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.7058300000499003,1,8,A
12,17,switch/standard,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,1.1367928000399845,1,9,B
12,8,switch/standard,f,j,A,17,85,-8.995342757,8.387433417892344,j,0,2.304245999956038,1,10,B
12,22,switch/standard,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,0.8937281999969855,1,11,B
12,16,switch/standard,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.8482691000099294,1,12,B
12,11,switch/standard,f,j,B,25,30,13.264524555129096,-38.2203846,f,0,1.580636200029403,1,13,A
12,9,switch/standard,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,8.704925700032618,1,14,A
12,5,switch/standard,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,1.1158628000412136,1,15,A
12,14,switch/standard,f,j,A,25,113,8.045214428,27.52140038259675,f,1,2.10703569999896,1,16,A
12,20,switch/standard,f,j,A,33,140,26.14711175410772,43.96860584938808,j,0,2.7548924000002444,1,17,B
12,18,switch/standard,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,1.5915095999953337,1,18,B
12,15,switch/standard,f,j,A,25,140,12.129448921922751,51.77476957,f,1,7.316388999985065,1,19,A
12,10,switch/standard,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,2.9838511000270955,1,20,A
12,4,switch/standard,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,0.7485012000543065,2,21,A
12,21,switch/standard,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.6680459000053816,2,22,B
12,16,switch/standard,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.5645526999724098,2,23,B
12,12,switch/standard,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,6.6452235000324436,2,24,B
12,2,switch/standard,f,j,A,10,57,-24.53495333,-12.0763604,f,1,5.0041921000229195,2,25,A
12,17,switch/standard,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,1.6460873000323772,2,26,B
12,5,switch/standard,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,0.833189700031653,2,27,A
12,8,switch/standard,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,6.396883199980948,2,28,A
12,6,switch/standard,f,j,B,17,30,-3.854444584,-37.8392214,j,1,1.685236299992539,2,29,B
12,11,switch/standard,f,j,B,25,30,13.264524555129096,-38.2203846,j,1,2.1500748000107706,2,30,B
12,22,switch/standard,f,j,B,40,57,41.88083319458841,-14.98800492,f,0,1.0604258999810554,2,31,A
12,20,switch/standard,f,j,A,33,140,26.14711175410772,43.96860584938808,j,0,1.166118000051938,2,32,B
12,3,switch/standard,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,1.1167205000529066,2,33,A
12,24,switch/standard,f,j,B,40,113,37.71162000489743,24.31290640287821,j,1,0.5637651999713853,2,34,B
12,9,switch/standard,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,0.9702607999788596,2,35,A
12,10,switch/standard,f,j,A,17,140,-1.732665378,46.70107673091564,f,1,0.8406838999944739,2,36,A
12,18,switch/standard,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,0.6997103999601677,2,37,B
12,23,switch/standard,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,0.5812910000095144,2,38,B
12,15,switch/standard,f,j,A,25,140,12.129448921922751,51.77476957,f,1,1.2588937999680638,2,39,A
12,14,switch/standard,f,j,A,25,113,8.045214428,27.52140038259675,f,1,0.7184161000186577,2,40,A
12,12,switch/standard,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.6934020000044256,3,41,B
12,21,switch/standard,f,j,B,40,30,45.13982813678688,-35.30081098,f,0,0.616145099978894,3,42,A
12,17,switch/standard,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,0.8516620000009425,3,43,B
12,11,switch/standard,f,j,B,25,30,13.264524555129096,-38.2203846,f,0,1.3496763000148349,3,44,A
12,23,switch/standard,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,1.411727200029418,3,45,B
12,6,switch/standard,f,j,B,17,30,-3.854444584,-37.8392214,f,0,6.000579799991101,3,46,A
12,14,switch/standard,f,j,A,25,113,8.045214428,27.52140038259675,f,1,9.280198899970856,3,47,A
12,15,switch/standard,f,j,A,25,140,12.129448921922751,51.77476957,f,1,0.947860500018578,3,48,A
12,16,switch/standard,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.6274396000080742,3,49,B
12,4,switch/standard,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,0.976098200015258,3,50,A
12,8,switch/standard,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,0.7821236000163481,3,51,A
12,2,switch/standard,f,j,A,10,57,-24.53495333,-12.0763604,f,1,0.9316270000417716,3,52,A
12,3,switch/standard,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,1.131142699974589,3,53,A
12,5,switch/standard,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,0.8026888000313193,3,54,A
12,24,switch/standard,f,j,B,40,113,37.71162000489743,24.31290640287821,j,1,0.6400239000213332,3,55,B
